epoch,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_loss,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_loss,lr
1,0.725507600133141,0.7033958178054716,0.5478397081019635,0.7033958178054716,0.6061233210898305,0.8439610453063582,0.7495009980039921,0.7990187527864894,0.533598401913964,0.7990187527864894,0.6008038955458842,0.6932190395723201,0.0001
2,0.7481415732830357,0.7479503399812941,0.5768289734817132,0.7479503399812941,0.6406859834328926,0.7321007664732964,0.783433133732535,0.803911290217944,0.5945628273546033,0.803911290217944,0.6515137896590943,0.6398541187333745,0.0001
3,0.7756573837789859,0.7925621111554568,0.6231230768145125,0.7925621111554568,0.6888465173847657,0.647771138952057,0.8243512974051896,0.8395298152289473,0.7035198085055592,0.8395298152289473,0.7593356407904588,0.5504567567221889,0.0001
4,0.7920781093975369,0.8025573257968998,0.6526205617550981,0.8025573257968998,0.7133953397507486,0.5854772875348141,0.7764471057884231,0.8093992057692292,0.6490799209915659,0.8093992057692292,0.6987291922110531,0.700830291401541,0.0001
5,0.8045046044602241,0.828792417422913,0.6896385244179098,0.828792417422913,0.7477310247736026,0.5252969363636332,0.810379241516966,0.8141937735339031,0.6782397355213661,0.8141937735339031,0.7247201686177368,0.6081719516280168,0.0001
