epoch,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_loss,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_loss,lr
1,0.7057583490513702,0.6828485156650548,0.49476062348989486,0.6828485156650548,0.5563677647363898,0.9024504510700061,0.7504990019960079,0.749890914596797,0.5833673351138229,0.749890914596797,0.6187899768308366,0.8773177336267532,0.0001
2,0.7383778985909242,0.7340834055811112,0.5622738483249506,0.7340834055811112,0.6255513679379929,0.8173281420524438,0.7405189620758483,0.791562321146286,0.5509540206555811,0.791562321146286,0.6182153981816133,0.7699470397958734,0.0001
3,0.7627870853212028,0.7586448950078923,0.6042530841245192,0.7586448950078923,0.6642961829118923,0.7280585263699415,0.8153692614770459,0.7696304952882994,0.6813737983263758,0.7696304952882994,0.7112458933114066,0.7544864272753831,0.0001
4,0.7807611228225896,0.7866306623765912,0.6309295529485065,0.7866306623765912,0.6927178800847068,0.6413885311249503,0.7365269461077845,0.7927846298627398,0.5432110881252904,0.7927846298627398,0.6065165333718213,0.8277098008388739,0.0001
5,0.788749583934317,0.8043914886888627,0.6558491035298868,0.8043914886888627,0.7165412405189443,0.6027027334752152,0.8423153692614771,0.8449492319584619,0.708643356448882,0.8449492319584619,0.7573813350903633,0.5490942888273574,0.0001
