,akiec,bcc,bkl,df,mel,nv,vasc
akiec,27,4,0,0,2,0,0
bcc,1,50,0,0,0,0,0
bkl,7,9,82,0,6,6,0
df,0,1,1,10,0,0,0
mel,2,5,16,0,59,28,1
nv,5,20,24,3,26,590,3
vasc,0,0,0,0,1,0,13
