epoch,train_accuracy,train_balanced_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,train_loss,val_accuracy,val_balanced_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_loss,lr
1,0.6178852768223677,0.5300718671878802,0.3754023822099684,0.5300718671878802,0.415570753019017,1.2504192048630651,0.7954091816367266,0.7873836891263533,0.6018325578714867,0.7873836891263533,0.6644296710441512,0.7810424880910954,0.0001
2,0.7164096305336736,0.6832293268783812,0.5117020467766155,0.6832293268783812,0.5726412191404255,0.9007388714163203,0.7265469061876247,0.7561543512156544,0.5642344113361253,0.7561543512156544,0.6104150634752507,0.7953623332484754,0.0001
3,0.7348274714301565,0.7079807711029594,0.5480149775563408,0.7079807711029594,0.6067825044157458,0.8282583318869784,0.7405189620758483,0.7507260317427008,0.5567782921013869,0.7507260317427008,0.6211671929818771,0.7474298382590513,0.0001
4,0.7600133141018529,0.7470847523825407,0.5961987318818276,0.7470847523825407,0.6558312319091655,0.741147693428879,0.8223552894211577,0.7640667375823734,0.6858041762747102,0.7640667375823734,0.7129139839919475,0.6487728312685704,0.0001
5,0.7763230888716298,0.7754414598356595,0.6205237154539185,0.7754414598356595,0.6819744105416318,0.6780005646647379,0.7644710578842315,0.8049360590895237,0.568754188947496,0.8049360590895237,0.6359845054594044,0.7206510741137221,0.0001
6,0.7847553533784534,0.7908466867477124,0.6346740463888748,0.7908466867477124,0.6967469378725093,0.6278669444256586,0.7984031936127745,0.8128209079579791,0.6106578402659306,0.8128209079579791,0.6640292760109071,0.5989498251267809,0.0001
7,0.7960723399534007,0.8201721639666869,0.670030910684826,0.8201721639666869,0.7300732565689395,0.5544289695684883,0.811377245508982,0.8266429518599239,0.708524498627715,0.8266429518599239,0.7394877017987239,0.5537242239626717,0.0001
8,0.8097192943526018,0.8289127082321752,0.6867601383936531,0.8289127082321752,0.7461256877006408,0.5337921230414461,0.811377245508982,0.8461616910025781,0.6214459083454661,0.8461616910025781,0.6807594251214919,0.6140354378370533,0.0001
9,0.8131587706645956,0.8344302945831022,0.6930968244794792,0.8344302945831022,0.7508096365200956,0.508154391090084,0.8642714570858283,0.862447136989085,0.7626321777899113,0.862447136989085,0.8046319878131412,0.519809073890737,0.0001
10,0.8212581826250971,0.8523458713092003,0.7219237604630949,0.8523458713092003,0.7768057129582535,0.4809924103580039,0.8383233532934131,0.8633735533928398,0.7463795149509436,0.8633735533928398,0.7921835940015932,0.47895851395276007,0.0001
11,0.8355708421169422,0.8649257532188646,0.7417931690508472,0.8649257532188646,0.7950799652059011,0.4564961504439568,0.8542914171656687,0.8354091191396605,0.7700764496065959,0.8354091191396605,0.798555199709429,0.5518658967763501,0.0001
12,0.8425607455897037,0.8688809793616049,0.7602174692345657,0.8688809793616049,0.8078416584368509,0.4192187776083318,0.8223552894211577,0.8370390521375505,0.6995928155344208,0.8370390521375505,0.7426356124535258,0.5738601405270843,0.0001
13,0.8515477643403973,0.8729499260208193,0.7762622754774513,0.8729499260208193,0.8188238784718481,0.38949327875814466,0.7864271457085829,0.8332738935990072,0.6428254039517193,0.8332738935990072,0.6878983743298098,0.6521203656515437,5e-05
14,0.8777321646510596,0.9188363764253653,0.8179037332537711,0.9188363764253653,0.8623570419154509,0.28953811058208956,0.8682634730538922,0.886255756582248,0.8030827487593047,0.886255756582248,0.8385424972235384,0.4122644239095749,5e-05
15,0.8922667258404526,0.9264327076158851,0.8445423477109751,0.9264327076158851,0.8811895574635545,0.25034527725538136,0.8612774451097804,0.8505427272612834,0.7597116597521909,0.8505427272612834,0.7946153797749839,0.5150691424524356,5e-05
16,0.9008099411960502,0.9385784259477398,0.872881198901668,0.9385784259477398,0.9025086818496666,0.21494975366470426,0.8662674650698603,0.8740131288347296,0.7837352309539415,0.8740131288347296,0.8213669306019157,0.4422880983474584,5e-05
17,0.9111283701320315,0.9450050957098773,0.882447385229408,0.9450050957098773,0.9109082040138008,0.18700845818315642,0.8792415169660679,0.8741866602040178,0.7805813561721873,0.8741866602040178,0.8187560594563957,0.498801429928866,5e-05
18,0.9021413513813381,0.9337029317042947,0.8556591304852683,0.9337029317042947,0.8906089660964733,0.21856572367784108,0.8912175648702595,0.8843171537757569,0.8349036612676566,0.8843171537757569,0.8575604518456397,0.47108223708625235,5e-05
19,0.9168978142682791,0.9487808509347239,0.8918051872140194,0.9487808509347239,0.9174736742741997,0.1770027117828699,0.8762475049900199,0.8843342242846307,0.8229245032590936,0.8843342242846307,0.8492670286697722,0.47274138418557693,5e-05
20,0.918783978697437,0.9534997361252566,0.8886243140591008,0.9534997361252566,0.917877642049261,0.16728675777656143,0.8852295409181636,0.8896270636179715,0.8380557513539167,0.8896270636179715,0.859946400121798,0.46711908083430426,5e-05
21,0.919005880394985,0.9536549650607683,0.8984079317837678,0.9536549650607683,0.9234880266136288,0.17807443395900127,0.8762475049900199,0.8888084464059116,0.815332160242827,0.8888084464059116,0.8472739651364783,0.4602995108582513,5e-05
22,0.9305447686674803,0.9620518386476259,0.9100593465108531,0.9620518386476259,0.933986802285428,0.1458935551946735,0.8922155688622755,0.8989522324416939,0.8516623951072857,0.8989522324416939,0.8732761354315387,0.465810681563131,5e-05
23,0.9328747364917341,0.9568824454397137,0.9111328152072536,0.9568824454397137,0.9319245718393908,0.15223244398015592,0.8632734530938124,0.878179196115551,0.7693447446007138,0.878179196115551,0.8167659918427933,0.6411647596238497,5e-05
24,0.9306557195162543,0.9608269420179903,0.8964424390947919,0.9608269420179903,0.9262035284297107,0.14796748353193376,0.8313373253493014,0.883457796861847,0.7655065280823904,0.883457796861847,0.8144704785036722,0.5248129079155549,5e-05
25,0.9338732941307001,0.962840626549173,0.9031718246921091,0.962840626549173,0.930787172541453,0.13339278920716163,0.8712574850299402,0.8810935805425404,0.8226417559487297,0.8810935805425404,0.8461124299202815,0.4885697231317521,5e-05
26,0.9446355264617774,0.9684229827967702,0.9232784384616565,0.9684229827967702,0.9441571057608363,0.11481657159802709,0.874251497005988,0.8693639086117388,0.8029924510275886,0.8693639086117388,0.8316606923124105,0.5906060486046705,2.5e-05
27,0.9499611672029291,0.9717143004756003,0.9180814278925135,0.9717143004756003,0.9431927076401012,0.09645906093211168,0.8792415169660679,0.8958207490512216,0.7994624732929265,0.8958207490512216,0.842871042283812,0.4812256412482086,2.5e-05
28,0.9630533673582603,0.9808921128138678,0.9462298946160435,0.9808921128138678,0.9627880712993938,0.06950256791107669,0.8852295409181636,0.8968924001710886,0.8159307954969635,0.8968924001710886,0.8518463102368798,0.5706170894091246,2.5e-05
29,0.9596138910462665,0.979100213036397,0.9467923262924037,0.979100213036397,0.9621098920209459,0.07696329887959377,0.8852295409181636,0.880116264494278,0.8238874746281685,0.880116264494278,0.8488457258117557,0.6608194589755213,2.5e-05
30,0.9639409741484523,0.9835588296401898,0.9537491831423122,0.9835588296401898,0.9679354785317671,0.07304816103892099,0.8902195608782435,0.8813142689709711,0.8218465400457297,0.8813142689709711,0.8485327344234103,0.6372809340190254,1.25e-05
31,0.9704870742261178,0.9851827617723398,0.9582312396797571,0.9851827617723398,0.9711245402175056,0.06093895784271808,0.8782435129740519,0.8806337502576654,0.8224541623521103,0.8806337502576654,0.8476449270410557,0.6504499398900602,1.25e-05
32,0.9717075335626317,0.9870372705240545,0.9640036542568008,0.9870372705240545,0.9749956932229897,0.05400326412993537,0.8972055888223552,0.869577267407547,0.8390334429986559,0.869577267407547,0.8514349702227041,0.5959351093465548,1.25e-05
33,0.9757017641184955,0.9877339031759773,0.9682583661797334,0.9877339031759773,0.9775943016927251,0.04470540099974592,0.8902195608782435,0.8761591670945575,0.8197955173556313,0.8761591670945575,0.8449837463149088,0.5408469631695402,1.25e-05
