,akiec,bcc,bkl,df,mel,nv,vasc
akiec,27,1,1,0,3,1,0
bcc,1,48,0,0,0,2,0
bkl,5,1,90,0,8,6,0
df,0,0,0,12,0,0,0
mel,1,1,5,0,82,22,0
nv,0,1,9,0,24,635,2
vasc,0,0,0,0,0,0,14
