,akiec,bcc,bkl,df,mel,nv,vasc
akiec,27,1,1,0,2,2,0
bcc,0,50,0,0,1,0,0
bkl,6,1,90,0,7,6,0
df,0,0,0,12,0,0,0
mel,0,0,4,0,84,23,0
nv,0,1,4,0,19,643,4
vasc,0,0,0,0,0,0,14
