,akiec,bcc,bkl,df,mel,nv,vasc
akiec,27,1,1,0,3,1,0
bcc,0,51,0,0,0,0,0
bkl,2,1,97,0,5,5,0
df,0,0,0,12,0,0,0
mel,1,0,4,0,82,24,0
nv,0,1,6,0,15,645,4
vasc,0,0,0,0,0,0,14
