,akiec,bcc,bkl,df,mel,nv,vasc
akiec,21,0,4,0,0,8,0
bcc,0,32,1,0,1,17,0
bkl,2,0,89,0,3,16,0
df,0,0,0,7,0,5,0
mel,0,0,5,0,63,43,0
nv,0,0,5,0,8,658,0
vasc,0,0,0,0,1,2,11
