,akiec,bcc,bkl,df,mel,nv,vasc
akiec,26,1,1,0,3,2,0
bcc,0,50,0,0,1,0,0
bkl,6,2,87,0,7,8,0
df,0,0,0,12,0,0,0
mel,0,0,6,0,84,21,0
nv,0,2,4,0,21,640,4
vasc,0,0,0,0,0,0,14
